E07000234,Bromsgrove,West Midlands,E12000005,228,155,73,,94,14,60,15,3,2,,31,30,,51,6,17,9,1,18,,18,34,,33,,1,1,0,0
E07000095,Broxbourne,East of England,E12000006,499,309,190,,170,79,53,11,15,12,,48,91,,91,12,21,5,3,50,,62,128,,111,,17,12,5,0
E07000172,Broxtowe,East Midlands,E12000004,347,239,108,,125,55,37,25,3,5,,57,57,,84,15,38,21,3,7,,28,53,,22,,31,25,6,0
E07000117,Burnley,North West,E12000002,658,271,387,,164,64,72,11,6,11,,95,12,,174,40,33,62,6,33,,199,26,,9,,17,17,0,0
E08000002,Bury,North West,E12000002,898,309,589,,113,38,51,17,4,3,,84,112,,261,23,132,71,9,26,,164,276,,164,,112,105,7,0
E08000033,Calderdale,Yorkshire and The Humber,E12000003,778,520,258,,367,151,159,33,11,13,,115,38,,183,53,50,15,9,56,,76,37,,26,,11,5,3,3
E07000008,Cambridge,East of England,E12000006,598,284,314,,146,47,39,49,10,1,,58,80,,153,29,30,44,4,46,,108,133,,72,,61,28,27,6
E09000007,Camden,London,E12000007,844,478,366,,251,92,21,30,96,12,,161,66,,258,98,23,108,13,16,,156,18,,15,,3,1,2,0
E07000192,Cannock Chase,West Midlands,E12000005,144,83,61,,62,35,18,2,7,0,,13,8,,48,5,9,2,3,29,,16,5,,1,,4,2,2,0
E07000106,Canterbury,South East,E12000008,871,279,592,,129,87,12,8,17,5,,96,54,,210,101,16,14,27,52,,179,257,,93,,164,133,24,7
E07000028,Carlisle,North West,E12000002,454,232,222,,144,26,87,11,19,1,,50,38,,161,9,37,20,11,84,,72,27,,7,,20,10,9,1
E07000069,Castle Point,East of England,E12000006,284,155,129,,116,87,11,5,13,0,,20,19,,55,27,13,5,7,3,,39,54,,37,,17,4,13,0
E06000056,Central Bedfordshire,East of England,E12000006,763,413,350,,231,92,90,13,30,6,,62,120,,182,43,81,16,12,30,,58,230,,169,,61,52,9,0
E07000130,Charnwood,East Midlands,E12000004,268,107,161,,61,19,23,4,12,3,,32,14,,99,12,24,39,13,11,,47,29,,25,,4,3,1,0
E07000070,Chelmsford,East of England,E12000006,598,344,254,,165,59,61,11,27,7,,80,99,,65,22,19,10,8,6,,77,211,,169,,42,18,16,8
E07000078,Cheltenham,South West,E12000009,487,227,260,,107,35,53,10,4,5,,55,65,,157,35,32,48,3,39,,83,85,,29,,56,40,13,3
E07000177,Cherwell,South East,E12000008,391,251,140,,157,37,95,9,13,3,,65,29,,89,15,43,16,5,10,,31,49,,24,,25,11,12,2
E06000049,Cheshire East,North West,E12000002,"1,233",768,465,,620,114,265,198,7,36,,116,32,,317,51,9,131,2,124,,161,19,,7,,12,10,0,2
E06000050,Cheshire West & Chester,North West,E12000002,"1,787","1,085",702,,539,182,226,33,63,35,,292,254,,286,59,81,41,21,84,,325,345,,144,,201,132,47,22
E07000034,Chesterfield,East Midlands,E12000004,344,63,281,,46,9,31,1,2,3,,3,14,,178,27,73,36,4,38,,62,55,,14,,41,32,8,1
E07000225,Chichester,South East,E12000008,244,114,130,,78,31,41,1,3,2,,19,17,,68,33,28,5,0,2,,55,24,,8,,16,10,4,2
E07000005,Chiltern,South East,E12000008,108,42,66,,20,3,11,0,2,4,,6,16,,20,6,6,1,0,7,,12,50,,34,,16,11,3,2
E07000118,Chorley,North West,E12000002,722,670,52,,562,105,341,65,26,25,,96,12,,55,10,10,7,2,26,,9,0,,0,,0,0,0,0
E07000048,Christchurch,South West,E12000009,210,111,99,,71,39,15,3,6,8,,21,19,,58,21,8,4,2,23,,28,32,,22,,10,4,4,2
E09000001,City of London,London,E12000007,22,6,16,,4,0,3,0,1,0,,0,2,,6,6,0,0,0,0,,4,8,,4,,4,4,0,0
E07000071,Colchester,East of England,E12000006,837,553,284,,248,135,45,13,42,13,,119,186,,131,54,18,26,10,23,,100,239,,201,,38,19,19,0
E07000029,Copeland,North West,E12000002,339,149,190,,112,24,53,21,11,3,,31,6,,125,19,28,57,5,16,,53,18,,6,,12,9,2,1
E07000150,Corby,East Midlands,E12000004,323,205,118,,120,71,20,5,22,2,,21,64,,54,24,12,11,4,3,,24,104,,94,,10,0,10,0
E06000052,Cornwall,South West,E12000009,"2,754","1,874",880,,"1,224",619,295,91,102,117,,413,237,,611,234,114,123,44,96,,212,294,,175,,119,97,22,0
E07000079,Cotswold,South West,E12000009,255,114,141,,69,18,44,2,1,4,,26,19,,33,6,15,1,1,10,,39,88,,60,,28,27,0,1
E08000026,Coventry,West Midlands,E12000005,"1,402",581,821,,286,116,127,12,22,9,,81,214,,193,42,75,27,10,39,,143,699,,639,,60,46,14,0
E07000163,Craven,Yorkshire and The Humber,E12000003,134,75,59,,49,20,19,5,2,3,,15,11,,32,8,3,7,6,8,,23,15,,5,,10,10,0,0
E07000226,Crawley,South East,E12000008,813,414,399,,243,131,41,24,38,9,,47,124,,146,53,23,22,12,36,,84,293,,151,,142,94,47,1
E09000008,Croydon,London,E12000007,845,385,460,,275,146,5,0,74,50,,107,3,,294,60,18,172,7,37,,124,45,,28,,17,9,2,6
E07000096,Dacorum,East of England,E12000006,637,355,282,,119,35,27,18,30,9,,93,143,,104,29,23,15,7,30,,126,195,,151,,44,36,7,1
E06000005,Darlington,North East,E12000001,619,216,403,,160,44,91,10,6,9,,43,13,,275,70,71,70,6,58,,137,4,,0,,4,0,0,4
E07000107,Dartford,South East,E12000008,473,277,196,,204,107,37,26,20,14,,47,26,,82,32,10,15,4,21,,56,84,,66,,18,16,2,0
E07000151,Daventry,East Midlands,E12000004,413,177,236,,63,14,38,2,7,2,,22,92,,101,12,67,10,7,5,,27,200,,133,,67,65,2,0
E06000015,Derby,East Midlands,E12000004,"1,818",714,"1,104",,337,105,90,45,74,23,,96,281,,656,89,96,228,100,143,,288,441,,372,,69,47,21,1
E07000035,Derbyshire Dales,East Midlands,E12000004,256,193,63,,156,35,93,7,13,8,,11,26,,48,9,22,7,1,9,,12,29,,23,,6,5,1,0
E08000017,Doncaster,Yorkshire and The Humber,E12000003,"1,461",544,917,,266,91,104,45,16,10,,154,124,,515,136,102,137,10,130,,243,283,,117,,166,125,37,4
E07000108,Dover,South East,E12000008,631,261,370,,119,75,23,7,9,5,,89,53,,135,56,19,1,5,54,,72,216,,145,,71,61,4,6
E08000027,Dudley,West Midlands,E12000005,964,143,821,,109,32,36,2,1,38,,21,13,,579,142,132,251,30,24,,170,85,,9,,76,72,4,0
E06000047,Durham,North East,E12000001,"3,220","2,363",857,,"1,089",508,336,179,42,24,,"1,094",180,,433,116,80,161,5,71,,518,86,,20,,66,52,13,1
E09000009,Ealing,London,E12000007,"2,187","1,263",924,,865,503,141,19,139,63,,132,266,,387,181,16,49,84,57,,97,706,,451,,255,234,21,0
E07000009,East Cambridgeshire,East of England,E12000006,433,340,93,,209,78,81,13,26,11,,81,50,,51,17,14,8,1,11,,37,55,,33,,22,18,2,2
E07000040,East Devon,South West,E12000009,426,296,130,,209,102,76,9,15,7,,50,37,,117,27,63,10,2,15,,32,18,,16,,2,0,2,0
E07000049,East Dorset,South West,E12000009,185,105,80,,52,27,15,4,4,2,,28,25,,49,19,11,5,0,14,,21,35,,26,,9,5,1,3
E07000085,East Hampshire,South East,E12000008,292,162,130,,125,51,45,7,17,5,,23,14,,82,22,20,12,6,22,,39,23,,6,,17,14,1,2
E07000242,East Hertfordshire,East of England,E12000006,458,234,224,,111,14,87,6,2,2,,28,95,,124,12,86,11,1,14,,32,163,,99,,64,43,12,9
E07000137,East Lindsey,East Midlands,E12000004,649,513,136,,399,157,164,50,17,11,,84,30,,118,19,37,47,10,5,,27,21,,13,,8,4,4,0
E07000152,East Northamptonshire,East Midlands,E12000004,259,184,75,,127,17,74,27,4,5,,40,17,,61,6,22,17,1,15,,17,14,,0,,14,11,3,0
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E12000003,531,349,182,,124,51,42,4,6,21,,84,141,,173,23,102,8,5,35,,61,89,,59,,30,8,15,7
E07000193,East Staffordshire,West Midlands,E12000005,133,75,58,,48,18,15,1,0,14,,14,13,,29,4,10,5,0,10,,13,29,,21,,8,3,5,0
E07000061,Eastbourne,South East,E12000008,275,107,168,,55,38,5,4,2,6,,16,36,,56,30,2,7,3,14,,38,110,,85,,25,9,9,7
E07000086,Eastleigh,South East,E12000008,306,221,85,,143,107,22,6,3,5,,58,20,,67,34,12,8,1,12,,34,4,,3,,1,1,0,0
E07000030,Eden,North West,E12000002,168,127,41,,93,34,47,3,3,6,,22,12,,39,8,11,5,1,14,,10,4,,0,,4,3,0,1
E07000207,Elmbridge,South East,E12000008,231,123,108,,69,42,15,6,4,2,,33,21,,40,19,7,4,1,9,,32,57,,42,,15,9,6,0
E09000010,Enfield,London,E12000007,"1,566","1,039",527,,483,316,12,12,52,91,,339,217,,217,99,2,3,5,108,,198,329,,312,,17,10,4,3
E07000072,Epping Forest,East of England,E12000006,308,176,132,,90,64,6,3,7,10,,33,53,,38,29,1,4,0,4,,44,103,,78,,25,14,5,6
E07000208,Epsom & Ewell,South East,E12000008,166,67,99,,41,24,5,0,7,5,,12,14,,32,13,7,3,1,8,,25,56,,49,,7,6,0,1
E07000036,Erewash,East Midlands,E12000004,243,117,126,,88,17,40,29,1,1,,22,7,,80,14,22,33,2,9,,34,19,,8,,11,10,0,1
E07000041,Exeter,South West,E12000009,922,559,363,,312,114,70,45,52,31,,180,67,,169,47,19,52,17,34,,139,122,,78,,44,13,24,7
E07000087,Fareham,South East,E12000008,271,144,127,,93,43,35,4,1,10,,13,38,,41,15,6,2,3,15,,26,98,,66,,32,27,2,3
E07000010,Fenland,East of England,E12000006,625,367,258,,231,138,46,16,22,9,,61,75,,139,51,18,33,17,20,,125,69,,33,,36,29,5,2
E07000112,Folkestone & Hythe,South East,E12000008,447,233,214,,132,81,35,10,5,1,,45,56,,110,45,27,5,0,33,,86,74,,3,,71,53,18,0
E07000201,Forest Heath,East of England,E12000006,328,210,118,,170,29,126,10,0,5,,22,18,,70,5,30,5,1,29,,30,36,,24,,12,7,5,0
E07000080,Forest of Dean,South West,E12000009,251,202,49,,135,50,74,6,2,3,,53,14,,32,6,12,1,0,13,,12,19,,16,,3,3,0,0
E07000119,Fylde,North West,E12000002,186,87,99,,73,38,27,3,3,2,,9,5,,82,51,20,7,2,2,,19,3,,2,,1,1,0,0
E08000037,Gateshead,North East,E12000001,"1,335",807,528,,444,39,127,13,6,259,,333,30,,193,2,37,14,0,140,,320,45,,37,,8,4,1,3
E07000173,Gedling,East Midlands,E12000004,342,214,128,,124,65,33,17,4,5,,32,58,,69,19,11,18,2,19,,39,78,,72,,6,5,1,0
E07000081,Gloucester,South West,E12000009,"1,279",539,740,,169,85,55,14,5,10,,226,144,,232,79,27,36,9,81,,259,393,,214,,179,126,26,27
E07000088,Gosport,South East,E12000008,481,339,142,,189,116,29,13,15,16,,85,65,,53,16,1,6,3,27,,59,95,,76,,19,11,6,2
E07000109,Gravesham,South East,E12000008,566,330,236,,191,70,57,15,35,14,,108,31,,59,18,8,8,8,17,,98,110,,63,,47,33,12,2
E07000145,Great Yarmouth,East of England,E12000006,919,520,399,,348,180,132,17,17,2,,104,68,,250,104,31,51,6,58,,85,132,,63,,69,51,12,6
E09000011,Greenwich,London,E12000007,679,415,264,,252,52,95,12,38,55,,115,48,,166,27,12,34,7,86,,81,65,,35,,30,23,6,1
E07000209,Guildford,South East,E12000008,510,319,191,,239,139,70,15,10,5,,60,20,,134,40,25,66,2,1,,70,7,,2,,5,2,3,0
E09000012,Hackney,London,E12000007,"1,900",836,"1,064",,341,127,95,31,62,26,,217,278,,287,109,10,75,43,50,,239,816,,680,,136,118,18,0
E06000006,Halton,North West,E12000002,75,28,47,,7,3,3,0,1,0,,4,17,,27,3,15,3,4,2,,19,18,,12,,6,4,2,0
E07000164,Hambleton,Yorkshire and The Humber,E12000003,213,109,104,,66,34,27,1,4,0,,22,21,,78,32,35,3,4,4,,23,24,,14,,10,9,1,0
E09000013,Hammersmith & Fulham,London,E12000007,962,426,536,,219,129,13,31,34,12,,127,80,,227,92,5,53,14,63,,94,295,,178,,117,102,7,8
E07000131,Harborough,East Midlands,E12000004,92,54,38,,24,7,15,0,2,0,,11,19,,20,2,14,1,3,0,,10,27,,11,,16,10,5,1
E09000014,Haringey,London,E12000007,"2,209","1,677",532,,999,571,88,136,146,58,,543,135,,318,121,17,71,7,102,,192,157,,108,,49,24,12,13
E07000073,Harlow,East of England,E12000006,272,144,128,,53,20,20,6,5,2,,28,63,,24,8,4,3,2,7,,32,135,,116,,19,10,9,0
E07000165,Harrogate,Yorkshire and The Humber,E12000003,543,320,223,,213,108,73,6,15,11,,48,59,,139,61,37,26,6,9,,46,97,,69,,28,23,5,0
E09000015,Harrow,London,E12000007,914,640,274,,227,174,14,5,18,16,,175,238,,146,76,10,5,7,48,,98,268,,230,,38,28,8,2
E07000089,Hart,South East,E12000008,180,87,93,,62,43,10,4,4,1,,19,6,,49,20,5,0,6,18,,17,33,,23,,10,9,1,0
E06000001,Hartlepool,North East,E12000001,258,137,121,,110,22,67,9,10,2,,22,5,,83,18,46,14,4,1,,42,1,,0,,1,1,0,0
E07000062,Hastings,South East,E12000008,871,442,429,,171,110,13,23,8,17,,162,109,,124,62,8,30,3,21,,102,312,,171,,141,67,19,55
E07000090,Havant,South East,E12000008,440,367,73,,223,115,29,25,44,10,,107,37,,44,18,5,5,3,13,,28,38,,22,,16,11,5,0
E09000016,Havering,London,E12000007,"1,826","1,473",353,,570,422,21,10,105,12,,700,203,,249,183,17,15,23,11,,235,72,,30,,42,36,6,0
E06000019,Herefordshire,West Midlands,E12000005,794,518,276,,220,46,140,21,6,7,,137,161,,202,31,111,37,8,15,,145,90,,55,,35,27,6,2
E07000098,Hertsmere,East of England,E12000006,289,129,160,,44,21,9,6,6,2,,37,48,,33,13,5,13,0,2,,43,132,,81,,51,39,5,7
E07000037,High Peak,East Midlands,E12000004,426,271,155,,184,71,77,3,18,15,,73,14,,84,23,21,8,13,19,,53,32,,14,,18,15,0,3
E09000017,Hillingdon,London,E12000007,"1,260","1,022",238,,683,431,70,39,112,31,,103,236,,224,130,49,12,10,23,,70,180,,132,,48,38,10,0
E07000132,Hinckley & Bosworth,East Midlands,E12000004,450,241,209,,173,57,51,13,41,11,,36,32,,134,25,46,32,23,8,,59,48,,40,,8,5,2,1
E07000227,Horsham,South East,E12000008,412,235,177,,185,47,119,6,4,9,,15,35,,31,12,10,2,2,5,,31,150,,95,,55,53,2,0
E09000018,Hounslow,London,E12000007,590,471,119,,154,76,25,1,38,14,,206,111,,83,26,8,1,1,47,,64,83,,79,,4,2,2,0
E07000011,Huntingdonshire,East of England,E12000006,933,571,362,,353,83,205,51,11,3,,87,131,,148,15,39,32,5,57,,80,265,,227,,38,31,6,1
E07000120,Hyndburn,North West,E12000002,214,147,67,,85,28,36,11,1,9,,57,5,,51,19,17,6,1,8,,18,3,,0,,3,1,1,1
E07000202,Ipswich,East of England,E12000006,941,591,350,,407,162,104,69,62,10,,129,55,,191,2,4,3,3,179,,118,96,,73,,23,11,11,1
E06000046,Isle of Wight,South East,E12000008,505,265,240,,158,132,8,15,3,0,,56,51,,118,55,5,37,1,20,,56,117,,61,,56,38,18,0
E06000053,Isles of Scilly,South West,E12000009,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,0,,0,0,0,0
E09000019,Islington,London,E12000007,342,278,64,,223,45,37,12,48,81,,51,4,,54,16,3,26,6,3,,2,12,,0,,12,9,0,3
E09000020,Kensington & Chelsea,London,E12000007,"1,070",205,865,,95,16,17,14,6,42,,56,54,,189,48,15,107,5,14,,214,516,,396,,120,81,18,21
E07000153,Kettering,East Midlands,E12000004,530,210,320,,102,56,40,3,1,2,,33,75,,158,33,84,16,10,15,,91,146,,102,,44,37,7,0
E07000146,King's Lynn & West Norfolk,East of England,E12000006,357,79,278,,35,18,11,2,2,2,,12,32,,155,29,52,46,6,22,,72,83,,35,,48,40,8,0
E06000010,Kingston upon Hull,Yorkshire and The Humber,E12000003,"1,874",688,"1,186",,450,123,243,59,19,6,,160,78,,"1,051",100,389,461,26,75,,208,5,,0,,5,0,5,0
E09000021,Kingston upon Thames,London,E12000007,19,9,10,,4,2,0,0,2,0,,2,3,,3,2,0,0,0,1,,7,3,,2,,1,0,1,0
E08000034,Kirklees,Yorkshire and The Humber,E12000003,"2,130","1,625",505,,"1,213",247,429,282,215,40,,212,200,,428,33,234,52,17,92,,82,195,,180,,15,8,7,0
E08000011,Knowsley,North West,E12000002,"1,013",700,313,,398,94,204,64,33,3,,254,48,,244,33,95,86,7,23,,100,17,,9,,8,2,6,0
E09000022,Lambeth,London,E12000007,"1,211",632,579,,411,179,42,107,62,21,,176,45,,281,61,2,84,10,124,,120,223,,211,,12,8,4,0
E07000121,Lancaster,North West,E12000002,554,216,338,,118,67,36,9,6,0,,78,20,,184,37,24,66,5,52,,138,36,,27,,9,7,1,1
E08000035,Leeds,Yorkshire and The Humber,E12000003,"5,175","3,888","1,287",,"3,340",966,365,243,"1,653",113,,399,149,,"1,026",235,56,177,355,203,,337,73,,46,,27,26,1,0
E06000016,Leicester,East Midlands,E12000004,"2,468","1,633",835,,"1,171",481,184,64,417,25,,219,243,,624,46,59,156,79,284,,177,277,,135,,142,107,35,0
E07000063,Lewes,South East,E12000008,110,47,63,,24,18,1,4,0,1,,8,15,,19,6,3,3,0,7,,15,44,,39,,5,1,4,0
E09000023,Lewisham,London,E12000007,"2,153","1,253",900,,379,195,57,25,63,39,,320,554,,316,104,19,88,22,83,,229,909,,818,,91,57,27,7
E07000194,Lichfield,West Midlands,E12000005,177,94,83,,50,13,29,0,6,2,,5,39,,73,12,39,11,9,2,,8,41,,27,,14,9,5,0
E07000138,Lincoln,East Midlands,E12000004,760,412,348,,236,63,121,33,9,10,,73,103,,257,45,113,34,5,60,,113,81,,50,,31,15,11,5
E08000012,Liverpool,North West,E12000002,"2,096","1,142",954,,703,223,335,76,26,43,,326,113,,543,60,157,138,23,165,,351,173,,151,,22,17,4,1
E06000032,Luton,East of England,E12000006,687,337,350,,245,139,60,20,24,2,,34,58,,104,51,6,11,9,27,,81,223,,197,,26,7,12,7
E07000110,Maidstone,South East,E12000008,867,479,388,,253,58,160,18,12,5,,87,139,,209,33,89,21,10,56,,94,224,,121,,103,77,23,3
E07000074,Maldon,East of England,E12000006,81,39,42,,12,8,1,1,1,1,,11,16,,13,6,4,1,1,1,,9,36,,33,,3,1,2,0
E07000235,Malvern Hills,West Midlands,E12000005,242,119,123,,70,22,37,4,5,2,,23,26,,57,10,32,8,7,0,,30,62,,32,,30,24,6,0
E08000003,Manchester,North West,E12000002,"3,905","1,333","2,572",,542,346,50,56,49,41,,385,406,,637,192,32,156,45,212,,752,"1,589",,"1,121",,468,349,80,39
E07000174,Mansfield,East Midlands,E12000004,470,193,277,,121,55,53,4,4,5,,29,43,,149,22,76,11,3,37,,77,94,,58,,36,25,11,0
E06000035,Medway Towns,South East,E12000008,"1,730",948,782,,551,381,68,33,42,27,,139,258,,235,93,20,44,10,68,,121,684,,285,,399,268,85,46
E07000133,Melton,East Midlands,E12000004,115,76,39,,48,15,18,2,11,2,,20,8,,16,3,5,6,2,0,,10,21,,17,,4,4,0,0
E07000187,Mendip,South West,E12000009,688,539,149,,320,118,102,22,55,23,,173,46,,76,12,21,17,6,20,,68,51,,16,,35,24,5,6
E09000024,Merton,London,E12000007,478,345,133,,170,59,73,4,32,2,,79,96,,52,2,4,14,3,29,,68,109,,85,,24,12,9,3
E07000042,Mid Devon,South West,E12000009,308,166,142,,128,71,41,2,13,1,,20,18,,97,24,43,10,12,8,,26,37,,19,,18,15,3,0
E07000203,Mid Suffolk,East of England,E12000006,252,183,69,,135,24,56,17,33,5,,29,19,,39,10,7,2,4,16,,20,29,,22,,7,3,3,1
E07000228,Mid Sussex,South East,E12000008,435,243,192,,153,59,65,5,19,5,,45,45,,65,14,11,13,3,24,,48,124,,72,,52,41,11,0
E06000002,Middlesbrough,North East,E12000001,863,497,366,,325,79,140,93,9,4,,157,15,,285,106,40,116,4,19,,89,7,,4,,3,3,0,0
E06000042,Milton Keynes,South East,E12000008,"1,193",928,265,,462,198,93,26,41,104,,220,246,,60,1,0,0,0,59,,33,418,,401,,17,5,11,1
E07000210,Mole Valley,South East,E12000008,281,180,101,,132,61,39,15,8,9,,27,21,,45,14,3,18,3,7,,12,65,,50,,15,8,4,3
E07000091,New Forest,South East,E12000008,775,562,213,,322,234,45,5,17,21,,144,96,,79,39,13,3,5,19,,50,180,,133,,47,33,5,9
E07000175,Newark & Sherwood,East Midlands,E12000004,414,158,256,,79,22,43,5,6,3,,34,45,,107,17,47,22,4,17,,87,107,,46,,61,48,12,1
E08000021,Newcastle upon Tyne,North East,E12000001,"1,504",479,"1,025",,277,68,155,24,20,10,,144,58,,619,28,166,346,50,29,,463,1,,1,,0,0,0,0
E07000195,Newcastle-under-Lyme,West Midlands,E12000005,385,223,162,,161,20,116,10,6,9,,44,18,,130,5,67,17,3,38,,37,13,,12,,1,0,1,0
E09000025,Newham,London,E12000007,290,169,121,,87,49,4,4,10,20,,75,7,,40,18,4,7,6,5,,38,50,,19,,31,16,10,5
E07000043,North Devon,South West,E12000009,"1,060",690,370,,464,261,103,35,33,32,,156,70,,229,74,15,48,7,85,,98,113,,47,,66,52,11,3
E07000050,North Dorset,South West,E12000009,178,81,97,,31,11,17,1,1,1,,23,27,,45,11,22,4,1,7,,24,55,,45,,10,7,1,2
E07000038,North East Derbyshire,East Midlands,E12000004,217,174,43,,161,21,88,12,24,16,,3,10,,45,2,8,4,6,25,,4,4,,4,,0,0,0,0
E06000012,North East Lincolnshire,Yorkshire and The Humber,E12000003,"1,079",454,625,,288,138,49,88,11,2,,116,50,,392,71,21,223,15,62,,178,105,,33,,72,61,9,2
E07000099,North Hertfordshire,East of England,E12000006,486,246,240,,134,51,52,8,13,10,,52,60,,99,38,9,21,9,22,,45,156,,84,,72,57,12,3
E07000139,North Kesteven,East Midlands,E12000004,376,198,178,,131,29,78,7,11,6,,29,38,,159,31,86,18,8,16,,45,12,,10,,2,0,2,0
E06000013,North Lincolnshire,Yorkshire and The Humber,E12000003,378,205,173,,124,23,74,15,7,5,,46,35,,129,12,49,18,6,44,,67,12,,2,,10,7,2,1
E07000147,North Norfolk,East of England,E12000006,414,273,141,,188,51,124,6,1,6,,30,55,,79,11,27,13,3,25,,40,77,,47,,30,24,5,1
E06000024,North Somerset,South West,E12000009,"1,078",710,368,,468,251,134,43,32,8,,154,88,,194,93,40,29,14,18,,105,157,,65,,92,89,3,0
E08000022,North Tyneside,North East,E12000001,624,360,264,,204,44,109,21,12,18,,92,64,,169,19,55,46,5,44,,71,88,,49,,39,22,11,6
E07000218,North Warwickshire,West Midlands,E12000005,100,78,22,,51,12,5,4,2,28,,16,11,,12,3,3,3,1,2,,9,12,,12,,0,0,0,0
E07000134,North West Leicestershire,East Midlands,E12000004,265,141,124,,108,26,55,5,15,7,,24,9,,85,9,24,11,30,11,,41,7,,4,,3,0,3,0
E07000154,Northampton,East Midlands,E12000004,865,476,389,,300,123,89,16,58,14,,62,114,,183,27,14,101,24,17,,65,255,,205,,50,14,36,0
E06000057,Northumberland,North East,E12000001,639,351,288,,256,60,169,12,8,7,,73,22,,219,40,119,19,4,37,,72,19,,12,,7,5,2,0
E07000148,Norwich,East of England,E12000006,"1,096",773,323,,414,101,226,38,18,31,,330,29,,107,11,32,15,7,42,,214,31,,5,,26,15,5,6
E06000018,Nottingham,East Midlands,E12000004,"1,976","1,188",788,,512,153,192,23,104,40,,409,267,,399,89,28,171,31,80,,305,351,,239,,112,100,11,1
E07000219,Nuneaton & Bedworth,West Midlands,E12000005,861,256,605,,85,34,32,4,9,6,,55,116,,163,48,36,21,10,48,,151,407,,250,,157,136,16,5
E07000135,Oadby & Wigston,East Midlands,E12000004,133,64,69,,33,18,7,2,4,2,,15,16,,18,8,2,0,4,4,,8,59,,30,,29,27,2,0
E08000004,Oldham,North West,E12000002,"1,061",555,506,,258,118,81,19,26,14,,176,121,,335,37,97,46,14,141,,112,180,,78,,102,95,3,4
E07000178,Oxford,South East,E12000008,533,332,201,,166,111,27,7,19,2,,88,78,,85,54,5,18,4,4,,58,136,,72,,64,44,19,1
E07000122,Pendle,North West,E12000002,323,168,155,,99,37,55,1,1,5,,52,17,,85,25,31,11,0,18,,83,4,,2,,2,1,0,1
E06000031,Peterborough,East of England,E12000006,795,345,450,,193,107,41,15,26,4,,62,90,,179,63,33,45,27,11,,118,243,,174,,69,49,20,0
E06000026,Plymouth,South West,E12000009,979,429,550,,233,120,61,16,28,8,,70,126,,277,107,34,34,27,75,,124,275,,216,,59,13,46,0
E06000029,Poole,South West,E12000009,457,259,198,,177,132,24,5,5,11,,38,44,,122,52,9,21,3,37,,56,64,,45,,19,13,5,1
E06000044,Portsmouth,South East,E12000008,896,357,539,,115,59,6,2,24,24,,60,182,,175,1,1,1,0,172,,122,424,,323,,101,65,36,0
E07000123,Preston,North West,E12000002,940,436,504,,244,97,118,19,2,8,,167,25,,226,63,44,45,4,70,,265,38,,3,,35,32,1,2
E07000051,Purbeck,South West,E12000009,141,98,43,,50,30,13,1,2,4,,28,20,,10,4,0,1,1,4,,17,36,,32,,4,2,0,2
E06000038,Reading,South East,E12000008,914,472,442,,235,171,15,26,16,7,,82,155,,291,170,33,68,2,18,,142,164,,116,,48,34,12,2
E09000026,Redbridge,London,E12000007,467,299,168,,47,39,3,2,2,1,,41,211,,38,5,0,0,0,33,,28,313,,283,,30,14,12,4
E06000003,Redcar & Cleveland,North East,E12000001,310,146,164,,110,25,67,0,14,4,,30,6,,135,39,64,6,13,13,,24,11,,3,,8,8,0,0
E07000236,Redditch,West Midlands,E12000005,306,148,158,,100,29,47,8,12,4,,21,27,,117,25,53,22,8,9,,29,39,,26,,13,9,4,0
E07000211,Reigate & Banstead,South East,E12000008,500,353,147,,228,129,53,25,14,7,,85,40,,67,16,6,10,4,31,,19,101,,81,,20,9,10,1
E07000124,Ribble Valley,North West,E12000002,62,29,33,,8,4,1,2,0,1,,10,11,,20,2,4,0,0,14,,16,8,,3,,5,5,0,0
E09000027,Richmond upon Thames,London,E12000007,44,24,20,,18,8,3,0,5,2,,1,5,,6,3,2,0,0,1,,7,12,,11,,1,0,0,1
E07000166,Richmondshire,Yorkshire and The Humber,E12000003,194,106,88,,67,27,28,5,4,3,,11,28,,56,12,36,1,2,5,,19,41,,18,,23,22,1,0
E08000005,Rochdale,North West,E12000002,"1,232",596,636,,389,53,269,35,16,16,,162,45,,348,27,67,136,6,112,,181,152,,123,,29,24,3,2
E07000075,Rochford,East of England,E12000006,274,185,89,,126,65,31,12,13,5,,23,36,,44,10,9,4,4,17,,29,52,,50,,2,2,0,0
E07000125,Rossendale,North West,E12000002,469,375,94,,297,77,100,84,16,20,,69,9,,77,14,13,36,2,12,,18,8,,4,,4,2,2,0
E07000064,Rother,South East,E12000008,388,139,249,,47,38,1,0,4,4,,30,62,,93,60,2,8,3,20,,64,154,,108,,46,39,4,3
E08000018,Rotherham,Yorkshire and The Humber,E12000003,"1,549",692,857,,359,108,194,19,31,7,,175,158,,541,132,240,97,22,50,,257,217,,102,,115,109,6,0
E07000220,Rugby,West Midlands,E12000005,384,155,229,,88,56,15,4,10,3,,24,43,,93,37,24,10,13,9,,51,128,,85,,43,31,12,0
E07000212,Runnymede,South East,E12000008,281,163,118,,53,23,13,11,1,5,,40,70,,40,14,5,8,2,11,,32,116,,77,,39,26,10,3
E07000176,Rushcliffe,East Midlands,E12000004,344,282,62,,247,63,110,35,28,11,,16,19,,62,7,31,15,3,6,,13,6,,4,,2,1,1,0
